Seller SKU,Title,ASIN,Alternative ASINs,UPC,EAN,Brand,Product Group,Parent ASIN,Quantity,Package Length,Package Width,Package Height,Package Weight,FBA Competitors,FBA Eligible Competitors,FBM Competitors,FBM Eligible Competitors,BuyBox Fulfillment,BuyBox Seller Feedback Count,BuyBox Seller Positive Feedback Rating,Sales Rank Category,Sales Rank,Est. Number of Orders per Day,Est. Number of Effective Competitors,MSRP (List Price),Lowest FBA price,Lowest FBM price,BuyBox price,Cost,Referral Fee,FBA Fee,Total Fees,Total Costs,Est. Monthly Sales Share,Est. Monthly Profit Share,Est. Profit Margin,Est. Competitive Price,Est. Profit per Item
,MAA Messer,B019RSXWMI,,7.05442E+11,,Cold Steel,Sports,,,30.5,8.75,3.5,4.25,1,1,3,3,FBA,387,91,sports_display_on_website,344667,0.01,1,319.99,194.32,192.65,194.32,127.95,29.15,10.03,39.18,167.13,29.15,4.08,14,194.32,27.19
,Cold Steel Rubber Training Black Bear Classic,B000F35U7A,B00BLQVYG6,7.05442E+11,,Cold Steel,Sports,,,14.65,5.04,0.24,0.22,0,0,2,2,FBM,41606,77,sports_display_on_website,246346,0.04,0.75,10.99,,15.6,15.6,4.95,2.34,2.41,4.75,9.7,10.7,4.05,38,15.6,5.9
,Cold Steel Roach Belly Polypropylene Handle (Cordura Sheath),B0013DIRHQ,B003OJOWQC,7.05442E+11,,Cold Steel,Sports,,,11.25,5.75,1.5,0.35,1,1,18,18,FBM,2103,91,sports_display_on_website,126903,0.32,1.56,20.99,18.05,16.71,16.71,9.95,2.51,3.19,5.7,15.65,62.66,3.97,6,16.71,1.06
,"Cold Steel Mini Leatherneck Tanto / 6 3/4"" Overall / 3",B09DLFGLW3,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,0,0,6,6,FBM,13680,93,sports_display_on_website,131275,0.29,2.19,29.99,,21.29,21.29,11.95,3.19,4.71,7.9,19.85,58.06,3.93,7,21.29,1.44
,"Cold Steel Code 4 Tanto pt. Plain Edge, Gray, 3.5""""""",B07DPWMKBJ,,7.05442E+11,,Cold Steel,Sports,,,5.59,1.85,0.83,0.31,0,0,12,12,FBM,41606,77,sports_display_on_website,273658,0.03,0,144.99,,96.97,96.97,74.95,14.55,3.19,17.74,92.69,86.41,3.81,4,96.97,4.28
,"Cold Steel Mini Leatherneck Clip Point / 6 3/4"" Overall / 3",B09DLF574V,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,0,0,3,3,FBM,7039,87,sports_display_on_website,161688,0.15,1.32,29.99,,21.85,21.85,11.95,3.28,4.71,7.99,19.94,42.38,3.7,9,21.85,1.91
,Pocket Bushman,B001DZT4WQ,"B082SPSBMD,B004YUECTC,B00GQ4E7DA",7.05442E+11,,Cold Steel,Sports,,,6.2,2,1,0.45,0,0,1,1,FBM,15,100,sports_display_on_website,380772,0.01,0,44.99,,44.99,44.99,22.95,6.75,3.19,9.94,32.89,13.36,3.59,27,44.99,12.1
,"Cold Steel Range Boss Flat Dark Earth Handle / 9 1/4"" Overall",B09DLDXWLD,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,0,0,4,4,FBM,41606,77,sports_display_on_website,250616,0.04,0.15,51.99,,41.28,41.28,26.95,6.19,4.71,10.9,37.85,43.07,3.58,8,41.28,3.43
,"COLD STEEL Viking Hand Axe Sheath SC90WVBA , Black",B00TTABJYS,,7.05442E+11,,Cold Steel,Sports,,,7.4,2.6,0.4,0.1,1,1,6,6,FBM,2103,91,sports_display_on_website,123598,0.34,1.65,10.95,9.99,7.39,7.4,2.95,1.11,2.41,3.52,6.47,28.48,3.58,13,7.4,0.93
,Cold Steel Viking Sword with Leather and Wood Scabbard,B000BTATE2,,7.05442E+11,,Cold Steel,Sports,,,43.5,6.8,1.5,3.75,1,1,18,16,FBM,95605,93,sports_display_on_website,257522,0.04,0,469.99,259.99,244.9,244.9,195.95,36.74,9.27,46.01,241.96,290.97,3.49,1,244.9,2.94
,"Cold Steel Mini Tuff Lite Plain Edge OD Green, One Size",B083W2JP12,,7.05442E+11,,Cold Steel,Sports,,,3.5,1.4,0.6,0.1,1,1,10,10,FBA,387,91,sports_display_on_website,195041,0.09,1.76,34.99,28.1,27.48,28.1,17.95,4.22,2.41,6.63,24.58,27.49,3.44,13,28.1,3.52
,"Cold Steel 80TJDZ Jack Dagger Thrower Clam, Black",B019RSXOBC,,7.05442E+11,,Cold Steel,Sports,,,16.1,5.4,0.7,1.2,1,1,6,6,FBA,387,91,sports_display_on_website,197206,0.08,1,27.99,26.32,28.61,26.32,14.95,3.95,4.71,8.66,23.61,31.58,3.25,10,26.32,2.71
,Cold Steel 97BWM12S Bowie Machete with Sheath,B00BD558JY,,7.05442E+11,,Cold Steel,Sports,,,19,6.06,1.97,1.15,0,0,2,2,FBM,27,50,sports_display_on_website,305031,0.02,0.15,28.99,,39.58,39.58,18.95,5.94,8.51,14.45,33.4,20.65,3.22,16,39.58,6.18
,"Cold Steel OSI Fixed Blade Survival Knife with Sheath, OSI",B001PYXKZW,B002J1OYXM,7.05442E+11,,Cold Steel,Sports,,,14.25,3.46,1.65,0.93,0,0,7,7,FBM,979,85,sports_display_on_website,346518,0.01,0,114.99,,71.59,71.59,45.95,10.74,4.71,15.45,61.4,21.26,3.03,14,71.59,10.19
,Delta Dart Cold Steel 92dd,B00LNN3CQW,"B000BT1G4E,B00KN77DSC",7.05442E+11,,Cold Steel,Sports,B07K1Y8CPG,,10,1.22,0.63,0.06,2,2,0,0,,,,sports_display_on_website,308663,0.02,2,,22.4,,,1.95,3.36,2.41,5.77,7.72,4.48,2.94,66,22.4,14.68
,"Cold Steel 92RBNTZ Rubber Training M9 Bayonet Knife,Black",B00HZIAFDW,B01HSHRPTG,7.05442E+11,,Cold Steel,Sports,,,14.88,4.02,1.73,0.35,0,0,1,1,,,,sports_display_on_website,210688,0.07,0.74,19.99,,15.97,,7.95,2.4,3.19,5.59,13.54,19.27,2.93,15,15.97,2.43
,"Cold Steel Mini Recon 1 Tanto pt / 7"" Overall / 3"" Blade / 3mm Thick",B09DLFJFZ6,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,0,0,5,5,FBM,41606,77,sports_display_on_website,310846,0.02,0,79.99,,48.76,48.91,31.95,7.34,4.71,12.05,44,29.06,2.92,10,48.91,4.91
,"Cold Steel Nightfall Series Premium Fixed Blade Knife with Sheath, Magnum Tanto IX",B00U1I7XU6,,7.05442E+11,,Cold Steel,Sports,B088ZB2B6C,,16.3,3.58,2.24,1.39,1,1,8,8,FBA,387,91,sports_display_on_website,213518,0.01,1,374.99,249.99,248.95,249.99,189.95,37.5,4.71,42.21,232.16,37.5,2.67,7,249.99,17.83
,Cold Steel M9 Rubber Training Bayonet,B01HSHRPTG,B00HZIAFDW,7.05442E+11,,Cold Steel,Sports,,,12.2,3.54,1.34,0.4,1,1,0,0,FBA,387,91,sports_display_on_website,142217,0.23,1,19.99,13.99,,13.99,7.95,2.1,3.19,5.29,13.24,48.27,2.59,5,13.99,0.75
,Cold Steel Training Sword - Made of High-Impact Polypropylene,B0030D63OQ,,7.05442E+11,,Cold Steel,Sports,,,42.8,3.4,0.9,2.25,0,0,7,7,,,,sports_display_on_website,144290,0.22,0.35,39.99,,34.54,,19.95,5.18,8.89,14.07,34.02,168.86,2.54,2,34.54,0.52
,Cold Steel Rondel Dagger,B019RSXXGI,,7.05442E+11,,Cold Steel,Sports,,,17.2,5.59,2.4,1.6,1,1,0,0,FBA,387,91,sports_display_on_website,372544,0.01,1,214.99,125.99,,125.99,85.95,18.9,4.71,23.61,109.56,18.9,2.46,13,125.99,16.43
,Cold Steel Tuff Lite Plain (OD Green),B06X9ZFCGG,,7.05442E+11,,Cold Steel,Sports,B088Z6DWWD,,4.41,1.73,0.83,0.18,1,1,13,13,FBA,387,91,sports_display_on_website,37748,0.44,1,50.99,31.18,33.05,31.18,22.95,4.68,3.19,7.87,30.82,205.79,2.38,1,31.18,0.36
,Cold Steel 49HTFSZ Mini Tac Tanto Serrated,B007K8R2QK,B0030DDFRY,7.05442E+11,,Cold Steel,Sports,,,10.25,4.8,1,0.35,0,0,3,3,,,,sports_display_on_website,378719,0.01,0.17,51.99,,39.14,,20.95,5.87,3.19,9.06,30.01,10.04,2.34,23,39.14,9.13
,"Cold Steel Nightfall Series Premium Fixed Blade Knife with Sheath, Magnum Tanto XII",B082R1JNLQ,,7.05442E+11,,Cold Steel,Sports,B088ZB2B6C,,18.31,3.31,2.13,1.45,1,1,5,5,FBA,387,91,sports_display_on_website,213518,0.01,1,449.99,239.99,274.54,239.99,179.95,36,8.51,44.51,224.46,36,2.33,6,239.99,15.53
,Cold Steel Bird and Game Boxed Folding Knife,B07BDSVWBP,,7.05442E+11,,Cold Steel,Sports,,,9.53,3.78,2.13,0.13,0,0,1,1,,,,sports_display_on_website,355935,0.01,0.4,35.99,,32.95,,13.95,4.94,3.19,8.13,22.08,7.06,2.33,33,32.95,10.87
,"Cold Steel Voyager Series Folding Knife with Tri-Ad Lock and Pocket Clip, Tanto Plain, XL",B07CL4BSQ3,,7.05442E+11,,Cold Steel,Sports,B088Z96S93,,7.36,2.44,0.94,0.55,2,2,24,24,FBA,387,91,sports_display_on_website,24034,0.36,1.87,119.99,63.22,65.26,63.22,49.95,9.48,3.19,12.67,62.62,237.9,2.26,1,63.22,0.6
,"Cold Steel Utility Knife (Kitchen Classics), Black, One Size",B019RSXHEQ,,7.05442E+11,,Cold Steel,Sports,,,13.82,3.35,0.79,0.22,2,2,8,8,FBA,387,91,kitchen_display_on_website,131313,0.15,1.92,21.99,15.99,15.94,15.99,8.95,2.4,3.19,5.59,14.54,24.64,2.23,9,15.99,1.45
,Cold Steel FGX Tai Pan,B001C63TMC,,7.05442E+11,,Cold Steel,Sports,,,14.41,3.5,1.26,0.24,1,1,6,6,FBM,29169,94,kitchen_display_on_website,163088,0.08,2.56,14.99,13.16,11.97,11.97,3.95,1.8,3.19,4.99,8.94,8.07,2.04,25,11.97,3.03
,"Cold Steel Outdoorsman Fixed Blade Knife with Sheath, Outdoorsman Lite",B07YJSH9VF,,7.05442E+11,,Cold Steel,Sports,B088ZDBHFK,,12.28,2.44,1.57,0.62,0,0,5,5,FBM,29169,94,sports_display_on_website,215418,0.06,1.08,40.99,,29.74,29.97,19.95,4.5,3.19,7.69,27.64,25.94,2.02,8,29.97,2.33
,"Cold Steel Double Agent Series Fixed Blade Knife with Sheath, Double Agent I Serrated, One Size",B0030DBGZC,B07MZFXX1C,7.05442E+11,,Cold Steel,Sports,B088Z92TGS,,8,2.5,2,0.2,0,0,12,10,FBM,95605,93,home_improvement_display_on_website,284521,0.08,0.61,49.99,,34.69,34.69,24.95,5.2,3.19,8.39,33.34,51.71,2.01,4,34.69,1.35
,"Cold Steel 92RGC11 Rubber Training, 1911 Pistol",B00HZIAHH6,,7.05442E+11,,Cold Steel,Sports,,,8.5,7.1,1.1,0.3,0,0,5,5,,,,sports_display_on_website,273715,0.03,0.65,31.99,,22.03,,11.95,3.3,3.19,6.49,18.44,12.02,1.96,16,22.03,3.59
,Cold Steel Secret Edge,B006YBVZ4E,,7.05442E+11,,Cold Steel,Sports,,,7,3,1,0.25,1,1,19,19,FBM,9037,93,sports_display_on_website,159417,0.16,1.07,44.99,32.19,25.86,25.86,17.95,3.88,3.19,7.07,25.02,59.97,1.95,3,25.86,0.84
,Cold Steel Delta Dart Zytel Handle (No Sheath),B000BT1G4E,"B00KN77DSC,B00LNN3CQW",7.05442E+11,,Cold Steel,Sports,B07K1Y8CPG,,10.12,1.85,0.79,0.06,1,1,6,6,,,,sports_display_on_website,190670,0.09,0.82,5.99,9.81,7.53,,1.95,1.13,3.19,4.32,6.27,11.17,1.87,17,7.53,1.26
,"Cold Steel Drop Forged Tomahawk Survival Hatchet - Great for Camping, Survival, Outdoors and Chopping Wood, Trench Hawk - Black, One Size",B0030DBHGU,,7.05442E+11,,Cold Steel,Sports,,,19,10,1,2.1,3,3,19,18,FBA,19871,96,sports_display_on_website,165337,0.14,1.38,67.99,43.39,42.89,43.39,26.95,6.51,8.89,15.4,42.35,76.57,1.84,2,43.39,1.04
,"Cold Steel (92RGRH) Ruger Super Redhawk Rubber Training Revolver, Green",B00U1IBLJA,,7.05442E+11,,Cold Steel,Sports,,,13.4,8.3,1.9,0.8,2,2,5,5,FBA,387,91,sports_display_on_website,121824,0.36,1.96,34.99,18.99,20.51,18.99,10.95,2.85,4.71,7.56,18.51,69.29,1.75,3,18.99,0.48
,"Spike Hawk, 22.00 in, American Hickory Handle",B003U6TT3A,"B0030DBHHO,B00FSWX44E",7.05442E+11,,Cold Steel,Sports,,,22,9,0.8,1.65,2,2,0,0,FBA,12056,100,sports_display_on_website,387295,0.01,1.99,47.99,53.47,,53.47,19.95,8.02,8.51,16.53,36.48,5.36,1.7,32,53.47,16.99
,Cold Steel Grik Folding Knife,B072591KK2,,7.05442E+11,,Cold Steel,Sports,,,5,2.01,0.98,0.15,1,1,20,20,FBA,387,91,sports_display_on_website,138444,0.25,1,49.99,35.99,37.56,35.99,26.95,5.4,3.19,8.59,35.54,134.96,1.69,1,35.99,0.45
,Cold Steel Training Sword - Made of High-Impact Polypropylene,B07MZWVNY2,,7.05442E+11,,Cold Steel,Sports,,,47.6,2.1,1.9,2.65,1,1,3,3,,,,biss_display_on_website,68967,0.02,2.9,38.99,41.99,33.65,,15.95,6.3,8.89,15.19,31.14,6.46,1.67,26,41.99,10.85
,"Cold Steel Tuff Lite Folding Knife with Tri-Ad Lock and Pocket Clip, Mini Black, One Size",B004MNAKYM,B007IR4S9M,7.05442E+11,,Cold Steel,Sports,,,3.7,2.1,1.5,0.02,1,1,9,9,FBA,387,91,sports_display_on_website,209510,0.07,3.67,34.99,27.99,27.99,27.99,16.95,4.2,3.19,7.39,24.34,12.59,1.64,13,27.99,3.65
,"Cold Steel Recon 1 Series Tactical Folding Knife with Tri-Ad Lock and Pocket Clip - Made with Premium CPM-S35VN Steel, Micro Spear Point, One Size",B084PTYGTC,,7.05442E+11,,Cold Steel,Sports,,,3.74,1.42,0.67,0.08,1,1,14,14,FBA,387,91,sports_display_on_website,237851,0.05,3.74,31.99,27.69,27.08,27.69,15.95,4.15,2.41,6.56,22.51,8.76,1.64,19,27.69,5.18
,"Cold Steel (SK92DD) Delta Dart Neck Sheath(Sheath Only),Black",B000EYFNEA,,7.05442E+11,,Cold Steel,Sports,,,15.7,1.2,1.1,2.2,0,0,8,8,FBM,41606,77,home_improvement_display_on_website,252165,0.12,1.7,6.99,,12.03,12.03,3.95,1.8,5.09,6.89,10.84,16.04,1.59,10,12.03,1.19
,"Cold Steel Big Bore Blowgun Kit - Includes Darts and Dart Quiver.357 Magnum Blowgun, Black, 1108099",B019RSZ2HQ,,7.05442E+11,,Cold Steel,Sports,B08JJ8XWXD,,48.75,5.75,1.75,0.65,6,6,1,1,,,,sports_display_on_website,29451,0.54,6.66,26.99,26.58,26.3,,12.95,3.99,8.89,12.88,25.83,56.21,1.59,3,26.58,0.75
,"Cold Steel 88BKW Katana, Ray Skin Handle, Wood Scabbard, One Size",B000Q9GCTI,,7.05442E+11,,Cold Steel,Sports,,,44,3.9,3.9,4.5,1,1,8,8,FBA,387,91,sports_display_on_website,294080,0.02,1,579.99,295.08,293.29,295.08,235.95,44.26,9.65,53.91,289.86,88.52,1.57,2,295.08,5.22
,"Cold Steel Cheap Shot Broadhead (50 Pack), Black, 100 Grain",B077343F6P,,7.05442E+11,,Cold Steel,Sports,B08974GQBG,,9.53,3.66,2.13,0.84,1,1,0,0,FBA,383,100,sports_display_on_website,92543,0.07,1,39.99,38.99,,38.99,26.95,5.85,4.71,10.56,37.51,40.94,1.55,4,38.99,1.48
,"Cold Steel FGX Karambit, black",B0016CTAOI,B000Y877CW,7.05442E+11,,Cold Steel,Sports,,,11.42,3.94,0.63,0.18,0,0,5,5,FBM,12319,91,sports_display_on_website,275551,0.03,0.96,15.99,,11.32,11.32,3.95,1.7,2.41,4.11,8.06,5.2,1.5,29,11.32,3.26
,"Cold Steel 20PH Outdoorsman Lite, Black",B004MNAL4G,B07F7Q92DR,7.05442E+11,,Cold Steel,Sports,,,12.3,2.5,1.6,0.55,3,3,3,3,FBA,387,91,sports_display_on_website,167717,0.14,2.76,40.99,28.74,28.11,28.74,19.95,4.31,3.19,7.5,27.45,32.1,1.44,4,28.74,1.29
,"Cold Steel Cheap Shot Polymer Archery Broadheads for Bows and Crossbows, Standard Broadhead (Pack of 10), 100 Grain (CSBH2Z)",B01MTDMN2F,,7.05442E+11,,Cold Steel,Sports,B08974GQBG,,7.6,6.18,0.31,0.57,1,1,12,12,,,,sports_display_on_website,92543,0.07,5.41,12.99,14.84,12.97,,5.95,2.23,2.41,4.64,10.59,4.86,1.39,29,14.84,4.25
,Cold Steel FGX Skean Dhu,B0017V1BFO,B0019FJI6W,7.05442E+11,,Cold Steel,Sports,,,9.6,2,0.6,0.15,0,0,4,4,,,,sports_display_on_website,265274,0.03,0.81,12.99,,9.31,,2.95,1.4,2.41,3.81,6.76,4.63,1.27,27,9.31,2.55
,"Cold Steel Steak Knife (Kitchen Classics), Black",B0015Z7I72,B019RSXGKQ,7.05442E+11,,Cold Steel,Sports,,,11,3.5,0.5,0.1,2,2,4,4,FBA,387,91,kitchen_display_on_website,185856,0.05,1.79,12.99,13.74,13.68,13.74,6.95,2.06,2.41,4.47,11.42,7.39,1.25,17,13.74,2.32
,"Cold Steel 53NHS Tokyo Spike Knife, Black, One Size",B00BD53L20,B00M3FJ4NY,7.05442E+11,,Cold Steel,Sports,,,11.18,5.63,0.75,0.15,0,0,4,4,FBM,29169,94,sports_display_on_website,318143,0.02,0.73,39.99,,33.97,33.97,22.95,5.1,2.41,7.51,30.46,11.78,1.22,10,33.97,3.51
,"Cold Steel San Mai Tanto Series Fixed Blade Knife - Made with Premium San Mai Steel, Master Tanto",B07BQD48HG,,7.05442E+11,,Cold Steel,Sports,B088Z4TRD4,,12.95,3.86,2.13,1.01,6,6,10,10,FBA,387,91,home_improvement_display_on_website,50919,0.99,2,219.99,113.76,135.16,113.86,91.95,17.08,4.71,21.79,113.74,1127.21,1.19,0,113.86,0.12
,"Cold Steel Air Lite Folding Knife with Japanese 10A Steel Blade, Tri-Ad Lock, Pocket Clip and G-10 Handle, Tanto Point",B084PTMCMX,,7.05442E+11,,Cold Steel,Sports,,,5.12,1.69,0.83,0.23,1,1,22,22,FBA,387,91,home_improvement_display_on_website,233889,0.16,1.4,99.99,58.5,57.45,58.5,45.95,8.78,3.19,11.97,57.92,117,1.16,1,58.5,0.58
,"Cold Steel Sure Flight Sport BLACK ,One Size",B01AALWNGM,B06VST3ZDJ,7.05442E+11,,Cold Steel,Sports,,,13.7,2.8,0.2,0.6,3,3,16,16,FBA,387,91,sports_display_on_website,80448,1.18,3.31,13.99,9.99,9.99,9.99,5.95,1.5,2.41,3.91,9.86,82.05,1.07,1,9.99,0.13
,"Cold Steel Click N Cut Hunter / 6 1/2"" Overall / 2 1/2"" Blade",B09DLFYFCM,,7.05442E+11,,Cold Steel,Sports,,,8.39,1.73,1.38,0.35,1,1,2,2,FBM,5963,97,sports_display_on_website,301467,0.02,1.61,31.99,23.53,24.47,24.47,12.95,3.67,3.19,6.86,19.81,5.63,1.07,19,24.47,4.66
,"Cold Steel All Purpose Tactical Machete with Sheath, Great for Clearing Brush, Survival, Camping and Outdoor Activities, Garden & Camp Machete, One Size",B00HZIKV72,,7.05442E+11,,Cold Steel,Sports,,,34,4,3.75,1.3,3,3,1,1,FBA,19871,96,lawn_and_garden_display_on_website,106065,0.03,3,23.95,26.98,33.13,26.98,8.95,4.05,9.27,13.32,22.27,6.07,1.06,17,26.98,4.71
,"Cold Steel 97JMS Universal Carbon Steel Tactical Jungle Machete with Cor-Ex Sheath, 22 Inch Length, Black",B00HHRBKFI,B006YBY9GA,7.05442E+11,,Cold Steel,Lawn & Patio,,,24,5.5,1,1.8,1,1,3,3,FBM,233,91,lawn_and_garden_display_on_website,158983,0.01,1.04,0,41.99,41.99,41.99,19.95,6.3,8.51,14.81,34.76,6.18,1.06,17,41.99,7.23
,"Cold Steel Slock Master / 11 3/4"" Overall / 6 1/2"" Blade / 3.5mm Thick",B09DLHPNH4,,7.05442E+11,,Cold Steel,Sports,,,12.56,2.17,1.81,0.53,1,1,4,4,FBM,41606,77,sports_display_on_website,399348,0.01,1.68,41.99,34.74,34.74,34.74,16.95,5.21,3.19,8.4,25.35,3.89,1.05,27,34.74,9.39
,Cold Steel Sure Balance Thrower black,B0030DDG00,,7.05442E+11,,Cold Steel,Sports,,,14.1,4.3,1,1.4,1,1,14,13,FBA,387,91,sports_display_on_website,275024,0.03,1.92,19.99,19.99,20.31,19.99,8.95,3,4.71,7.71,16.66,6.16,1.03,17,19.99,3.33
,"Cold Steel Spear with Sheath, American Hunting Spear",B084PVD7C1,,7.05442E+11,,Cold Steel,Sports,,,31.5,3.5,1.4,1.85,1,1,4,4,FBA,19871,96,sports_display_on_website,146697,0.21,1,43.99,37.39,37.79,37.39,22.95,5.61,8.51,14.12,37.07,117.78,1.01,1,37.39,0.32
,Cold Steel (SC80TBBA) Perfect Balance Sheath Only Knives,B0030D9RIA,B004WBLSYK,7.05442E+11,,Cold Steel,Sports,,,14,3,1.5,0.2,0,0,6,6,FBM,979,85,sports_display_on_website,196481,0.09,1.67,9.99,,11.9,11.9,5.95,1.79,3.19,4.98,10.93,12.03,0.98,8,11.9,0.97
,Cold Steel Black Pocket Shark 91SPB Permanent Marker and Self Defense Equipment Knife,B00BGFQ46W,"B001R0XNSI,B00KN72ET0",7.05442E+11,,Cold Steel,Sports,,,9.45,4.21,0.71,0.13,2,2,1,1,,,,office_product_display_on_website,137364,0.07,2.82,7.99,8.41,8.41,,2.95,1.26,2.41,3.67,6.62,4.62,0.98,21,8.41,1.79
,"Cold Steel Recon 1 Series Tactical Folding Knife with Tri-Ad Lock and Pocket Clip - Made with Premium CPM-S35VN Steel, Micro Tanto, One Size",B084PTXF7F,,7.05442E+11,,Cold Steel,Sports,,,3.9,1.46,0.67,0.08,2,2,17,17,FBA,387,91,sports_display_on_website,231449,0.05,5.34,31.99,27.19,27.19,27.46,16.95,4.12,2.41,6.53,23.48,6.5,0.94,14,27.46,3.98
,"Cold Steel Tuff Lite Folding Knife with Tri-Ad Lock and Pocket Clip, Mini Red",B083W2JQ1W,,7.05442E+11,,Cold Steel,Sports,,,3.5,1.4,0.8,0.1,1,1,7,7,FBM,7039,87,sports_display_on_website,294786,0.02,1.86,34.99,30.31,29.58,29.58,17.95,4.44,3.19,7.63,25.58,6.21,0.84,14,29.58,4
,"Cold Steel Double Safe Hunter Folding Knife with Rocker Lock and Secondary Safety Mechanism, Camo, One Size",B084PTMCMT,,7.05442E+11,,Cold Steel,Sports,,,5.12,2.2,1.14,0.28,1,1,14,14,FBA,387,91,home_improvement_display_on_website,402021,0.02,1.73,44.99,33.91,33.12,33.91,21.95,5.09,3.19,8.28,30.23,7.45,0.81,11,33.91,3.68
,Cold Steel Trail Boss 90TA,B07M9CJ9DQ,B001CZ9UY4,7.05442E+11,,COLD STEEL(R),Sports,,,27.3,7,1,2.85,4,4,3,3,FBA,3822,95,sports_display_on_website,295594,0.02,3.85,,46.98,49.71,46.98,24.95,7.05,8.89,15.94,40.89,5.81,0.75,13,46.98,6.09
,Tuff Lite Plain (Blue),B06XNQ217D,,7.05442E+11,,Cold Steel,Sports,B088Z6DWWD,,4.45,1.73,0.71,0.09,1,1,15,15,FBA,387,91,sports_display_on_website,37748,0.44,1.36,50.99,29.99,30.19,29.99,22.95,4.5,2.41,6.91,29.86,167.74,0.73,0,29.99,0.13
,"Cold Steel Mini Leatherneck Double Edge / 6 3/4"" Overall / 3",B09DLFMZGC,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,0,0,5,4,FBM,13680,93,sports_display_on_website,221433,0.06,2.26,29.99,,21.13,21.13,11.95,3.17,4.71,7.88,19.83,11.67,0.72,6,21.13,1.3
,"Cold Steel 40A Click N Cut Folder 2.5 in Blade ABS Handle, One Size",B084PTXKXV,,7.05442E+11,,Cold Steel,Sports,,,8.35,1.81,0.79,0.35,1,1,21,21,FBA,387,91,home_improvement_display_on_website,318397,0.06,5.89,28.99,24.55,23.94,24.55,14.95,3.68,3.19,6.87,21.82,6.41,0.71,11,24.55,2.73
,Cold Steel Finn Wolf Red Blade One Hand Open Knife Folding Camping Knives,B07CKV1RQX,,7.05442E+11,,Cold Steel,Sports,,,5.16,1.73,0.98,0.23,1,1,11,11,FBA,387,91,sports_display_on_website,293457,0.02,2.33,64.99,38.79,37.92,38.79,25.95,5.82,3.19,9.01,34.96,6.99,0.69,10,38.79,3.83
,Cold Steel Frontier Hawk Sheath,B007EY7NUU,,7.05442E+11,,Cold Steel,Sports,,,4.76,3.66,0.51,0.04,1,1,3,3,FBM,41606,77,sports_display_on_website,326952,0.02,1.76,4.99,10,9.66,9.66,2.95,1.45,2.41,3.86,6.81,2.1,0.62,30,9.66,2.85
,"Cold Steel (92FCAT) FGX Cat Tanto Grivory with Kraton Grip,MULTI",B000WAC88K,B00HXCU5CG,7.05442E+11,,Cold Steel,Sports,,,14.96,5.59,1.34,0.26,0,0,5,5,FBM,2103,91,sports_display_on_website,326697,0.02,0.8,15.99,,10.55,10.55,3.95,1.58,3.19,4.77,8.72,3.52,0.61,17,10.55,1.83
,"Cold Steel Tuff Lite Folding Knife with Tri-Ad Lock and Pocket Clip, Mini Blue",B083W2Q9J2,,7.05442E+11,,Cold Steel,Sports,,,3.7,1.5,0.6,0.1,1,1,7,7,FBM,7039,87,sports_display_on_website,378357,0.01,1.47,34.99,35.49,29.73,29.73,17.95,4.46,2.41,6.87,24.82,3.61,0.6,17,29.73,4.91
,"Cold Steel Kyoto I / 6 5/8"" Overall / 3 1/4"" Blade",B09DLFSXK9,,7.05442E+11,,Cold Steel,Sports,,,2,2,2,1,0,0,3,2,FBM,41606,77,sports_display_on_website,47306,1.83,1.9,29.99,,23.17,23.17,14.95,3.48,4.71,8.19,23.14,438.63,0.57,0,23.17,0.03
,"Cold Steel Ranch Boss II Classic Folding Knife, One Size",B084PTKRVM,,7.05442E+11,,Cold Steel,Sports,,,6.22,2.6,1.42,0.51,1,1,16,16,FBA,387,91,sports_display_on_website,283382,0.03,2.32,46.99,37.87,37.09,37.87,26.95,5.68,3.19,8.87,35.82,10.27,0.56,5,37.87,2.05
,Cold Steel (92FJD) FGX Jungle Dart,B0013PQVTA,,7.05442E+11,,Cold Steel,Sports,,,10.24,0.24,0.16,0.05,0,0,4,4,,,,sports_display_on_website,318241,0.02,1.4,9.99,,8.95,,2.95,1.34,2.41,3.75,6.7,2.24,0.56,25,8.95,2.25
,Cold Steel Rifleman's Cordura Sheath,B005343TTM,,7.05442E+11,,Cold Steel,Sports,,,4,4,0.5,0.05,5,5,4,4,FBA,2665,100,home_improvement_display_on_website,303482,0.07,5.54,4.99,8.3,8.98,8.32,2.95,1.25,2.41,3.66,6.61,2.67,0.55,21,8.32,1.71
,"Cold Steel 49NDEZ Hide Out Blade Knife, Black/Silver",B00FSWLXG0,B00BD4VNOY,7.05442E+11,,Cold Steel,Sports,,,7,1.7,0.5,0.02,0,0,3,3,FBM,2103,91,sports_display_on_website,377388,0.01,0.56,35.99,,27.06,27.06,17.95,4.06,2.41,6.47,24.42,5.2,0.51,10,27.06,2.64
