Seller SKU,Title,ASIN,Alternative ASINs,UPC,EAN,Brand,Product Group,Parent ASIN,Quantity,Package Length,Package Width,Package Height,Package Weight,FBA Competitors,FBA Eligible Competitors,FBM Competitors,FBM Eligible Competitors,BuyBox Fulfillment,BuyBox Seller Feedback Count,BuyBox Seller Positive Feedback Rating,Sales Rank Category,Sales Rank,Est. Number of Orders per Day,Est. Number of Effective Competitors,MSRP (List Price),Lowest FBA price,Lowest FBM price,BuyBox price,Cost,Referral Fee,FBA Fee,Total Fees,Total Costs,Est. Monthly Sales Share,Est. Monthly Profit Share,Est. Profit Margin,Est. Competitive Price,Est. Profit per Item
,"Cold Steel (92RGRL) Ruger LCR Rubber Training Revolver, Green",B00U1IBJ7E,B01AALX0MI,7.05442E+11,,Cold Steel,Sports,,,10,5.2,0.9,0.45,2,2,2,2,FBA,387,91,sports_display_on_website,82806,1.11,2.27,27.99,17.99,18.22,17.99,8.95,2.7,3.19,5.89,14.84,183.2,32.08,18,17.99,3.15
,"Cold Steel SRK Survival Rescue Fixed Blade Knife with Secure-Ex Sheath - Standard Issue Knife of the Navy Seals, Great for Tactical, Outdoors, Hunting and Survival Applications, SK-5 Steel, Compact",B0851Q2PVX,,7.05442E+11,,Cold Steel,Sports,,,10.2,2.6,1.93,0.57,13,13,24,24,FBA,5,100,home_improvement_display_on_website,41191,3.86,7.32,53.99,36.99,38.95,36.99,25.95,5.55,3.19,8.74,34.69,514.84,32.01,6,36.99,2.3
,"Cold Steel Drop Forged Bowie/Overall / 9 1/2"" Blade/with Ambidextr",B09DLFGLWB,,7.05442E+11,,Cold Steel,Sports,,,15.98,3.5,2.64,1.46,2,2,6,6,FBA,387,91,sports_display_on_website,118684,0.39,1,139.99,77.74,77.74,77.74,55.95,11.66,4.71,16.37,72.32,454.78,31.71,7,77.74,5.42
,Cold Steel Master Hunter in San Mai,B0011MYRN2,B001CWOXD0,7.05442E+11,,Cold Steel,Lawn & Patio,B088Z165ZZ,,14.53,3.62,2.13,0.75,1,1,17,16,FBA,387,91,sports_display_on_website,89990,0.87,1,169.99,86.54,86.35,86.54,67.95,12.98,3.19,16.17,84.12,1129.35,31.58,3,86.54,2.42
,"Cold Steel Medieval Buckler Polymer Shield, Medieval Buckler",B006YBXYYS,,7.05442E+11,,Cold Steel,Sports,B08HRTMJFV,,14.96,12.6,4.53,2.31,0,0,22,22,,,,fashion_display_on_website,370050,0.43,0.53,44.99,,35.1,,19.95,5.27,6.23,11.5,31.45,295.94,30.77,10,35.1,3.65
,"Cold Steel Mini Torpedo, Black, 12""",B07MZWVNY4,,7.05442E+11,,Cold Steel,Sports,,,12.9,2.2,1.1,0.9,5,5,2,2,,,,home_improvement_display_on_website,133992,0.79,3.67,25.99,27.9,31.95,,12.95,4.18,4.71,8.89,21.84,141.59,30.75,22,27.9,6.06
,"Cold Steel Voyager Series Folding Knife with Tri-Ad Lock and Pocket Clip, Tanto Serrated, XL",B07MZXCFPZ,,7.05442E+11,,Cold Steel,Sports,B088Z96S93,,7.6,2.7,1.1,0.55,0,0,8,7,FBM,41606,77,sports_display_on_website,24034,0.36,0,119.99,,77.62,77.62,59.95,11.64,3.19,14.83,74.78,830,30.37,4,77.62,2.84
,Cold Steel Spear Head Trainer,B079STYF6Z,,7.05442E+11,,Cold Steel,Sports,,,17.24,3.31,1.42,0.42,1,1,8,8,FBA,387,91,sports_display_on_website,63663,1.43,1.94,11.99,11.99,11.94,11.99,4.95,1.8,3.19,4.99,9.94,174.96,29.91,17,11.99,2.05
,"Cold Steel FGX Nightshade Series Knife - Made of Griv-Ex Fiberglass-Reinforced Polymer, Wasp, One Size",B084PTXKYX,,7.05442E+11,,Cold Steel,Sports,,,14.1,1.6,0.5,0.25,3,3,6,6,FBA,387,91,sports_display_on_website,41769,2.03,1.36,11.99,9.99,11.66,9.99,4.95,1.5,2.41,3.91,8.86,257.79,29.16,11,9.99,1.13
,"Cold Steel Kobun Tactical Fixed Blade Knife with Sheath, Serrated, One Size",B083VSHT59,,7.05442E+11,,Cold Steel,Sports,,,10.47,2.44,1.22,0.51,4,4,35,35,FBA,14,100,sports_display_on_website,110496,0.48,1.5,66.99,42.35,42.35,42.35,27.95,6.35,3.19,9.54,37.49,243.94,27.99,11,42.35,4.86
